# Benchmark Trace Log — Minimum Latency System
# Iterations recorded: 103
#
# SendTime | RecvTime | Latency
# -----------------------------------------------
2026-06-13T21:20:04.7119131-05:00 | 2026-06-13T21:20:04.7125356-05:00 | 622.5µs
2026-06-13T21:20:05.0037251-05:00 | 2026-06-13T21:20:05.0043368-05:00 | 611.7µs
2026-06-13T21:20:05.2968373-05:00 | 2026-06-13T21:20:05.2972337-05:00 | 396.4µs
2026-06-13T21:20:05.5596121-05:00 | 2026-06-13T21:20:05.5601372-05:00 | 525.1µs
2026-06-13T21:20:05.7819718-05:00 | 2026-06-13T21:20:05.7819718-05:00 | 0s
2026-06-13T21:20:05.9874362-05:00 | 2026-06-13T21:20:05.9880742-05:00 | 638µs
2026-06-13T21:20:06.1765042-05:00 | 2026-06-13T21:20:06.1770325-05:00 | 528.3µs
2026-06-13T21:20:06.3578996-05:00 | 2026-06-13T21:20:06.3589529-05:00 | 1.0533ms
2026-06-13T21:20:06.5739324-05:00 | 2026-06-13T21:20:06.5747915-05:00 | 859.1µs
2026-06-13T21:20:06.7586601-05:00 | 2026-06-13T21:20:06.7586601-05:00 | 0s
2026-06-13T21:20:06.9460712-05:00 | 2026-06-13T21:20:06.9466109-05:00 | 539.7µs
2026-06-13T21:20:07.1351996-05:00 | 2026-06-13T21:20:07.1351996-05:00 | 0s
2026-06-13T21:20:07.3149963-05:00 | 2026-06-13T21:20:07.3149963-05:00 | 0s
2026-06-13T21:20:07.4780961-05:00 | 2026-06-13T21:20:07.4780961-05:00 | 0s
2026-06-13T21:20:07.6518446-05:00 | 2026-06-13T21:20:07.6528491-05:00 | 1.0045ms
2026-06-13T21:20:07.8234246-05:00 | 2026-06-13T21:20:07.8239877-05:00 | 563.1µs
2026-06-13T21:20:07.9957813-05:00 | 2026-06-13T21:20:07.9957813-05:00 | 0s
2026-06-13T21:20:08.1846991-05:00 | 2026-06-13T21:20:08.185451-05:00 | 751.9µs
2026-06-13T21:20:08.3579024-05:00 | 2026-06-13T21:20:08.3585969-05:00 | 694.5µs
2026-06-13T21:20:08.5356981-05:00 | 2026-06-13T21:20:08.5363154-05:00 | 617.3µs
2026-06-13T21:20:08.7338719-05:00 | 2026-06-13T21:20:08.7338719-05:00 | 0s
2026-06-13T21:20:08.9296553-05:00 | 2026-06-13T21:20:08.9303547-05:00 | 699.4µs
2026-06-13T21:20:09.1302218-05:00 | 2026-06-13T21:20:09.1302218-05:00 | 0s
2026-06-13T21:20:09.3318378-05:00 | 2026-06-13T21:20:09.3323816-05:00 | 543.8µs
2026-06-13T21:20:09.5258735-05:00 | 2026-06-13T21:20:09.5265269-05:00 | 653.4µs
2026-06-13T21:20:09.719748-05:00 | 2026-06-13T21:20:09.7201607-05:00 | 412.7µs
2026-06-13T21:20:09.9097395-05:00 | 2026-06-13T21:20:09.9102441-05:00 | 504.6µs
2026-06-13T21:20:10.0977605-05:00 | 2026-06-13T21:20:10.0981815-05:00 | 421µs
2026-06-13T21:20:10.2871051-05:00 | 2026-06-13T21:20:10.2871051-05:00 | 0s
2026-06-13T21:20:10.4757756-05:00 | 2026-06-13T21:20:10.4764732-05:00 | 697.6µs
2026-06-13T21:20:10.6561119-05:00 | 2026-06-13T21:20:10.6567131-05:00 | 601.2µs
2026-06-13T21:20:10.8368224-05:00 | 2026-06-13T21:20:10.8373388-05:00 | 516.4µs
2026-06-13T21:20:11.0241492-05:00 | 2026-06-13T21:20:11.0241492-05:00 | 0s
2026-06-13T21:20:11.2229068-05:00 | 2026-06-13T21:20:11.2229068-05:00 | 0s
2026-06-13T21:20:11.4196137-05:00 | 2026-06-13T21:20:11.4203626-05:00 | 748.9µs
2026-06-13T21:20:11.626132-05:00 | 2026-06-13T21:20:11.6274042-05:00 | 1.2722ms
